a,a_incidences,b,b_incidences,c,c_incidences,d,d_incidences,e,e_incidences,f,f_incidences,g,g_incidences,h,h_incidences,i,i_incidences,j,j_incidences,k,k_incidences,l,l_incidences,m,m_incidences,n,n_incidences,o,o_incidences,p,p_incidences,q,q_incidences,r,r_incidences,s,s_incidences,t,t_incidences,u,u_incidences,v,v_incidences,w,w_incidences,x,x_incidences,y,y_incidences,z,z_incidences
Azizullah,"70,159",Bartels,"53,795",Coffman,"34,357",Damião,"34,073",Eldaw,"17,494",Foronda,"17,648",Giroux,"29,965",Hawthorne,"31,390",Ikhwan,"10,519",Jeke,"12,129",Konde,"52,174",Lauzon,"22,146",Martino,"83,067",Nzeba,"35,698",Oliveira da Silva,"16,611",Philavanh,"30,909",Quignon,"1,734",Rozhkov,"33,559",Sur,"75,609",Tarafder,"31,285",Urai,"5,647",van Doorn,"12,851",Wubeshet,"11,448",Xjnh,211,Yohali,"8,997",Zelenova,"8,992"
Akech,"70,132",Booysen,"53,764",Chandan,"34,329",Desalegne,"34,022",Ekomba,"17,455",Firmin,"17,635",Gómez,"29,768",Hilliard,"31,328",Ignashkin,"10,503",Jare,"12,128",Kalashnikova,"52,118",Lindqvist,"22,072",Mulyono,"82,724",Narcisse,"35,683",Ogbeide,"16,587",Pattar,"30,908",Quartieri,"1,733",Rusli,"33,482",Soleh,"75,551",Thar,"31,212",Utaray,"5,632",Villan,"12,836",Wanasinghe,"11,444",Xancopinca,210,Youl,"8,979",Zeglam,"8,987"
Alfa,"70,054",Beckmann,"53,722",Coral,"34,221",Djama,"33,890",Ewnetu,"17,433",Fuchigami,"17,613",Ghaith,"29,732",Hamzat,"31,264",Ivo,"10,499",Juhana,"12,121",Karahan,"52,063",Louise,"22,043",Mian,"82,589",N'Zi,"35,627",Obo,"16,548",Pene,"30,905",Quilon,"1,731",Razoe,"33,402",Sackey,"75,344",Taşkıran,"31,048",Ustad,"5,631",Vedernikov,"12,823",Wadhwani,"11,411",Xareh,210,Yebra,"8,967",Zoysa,"8,962"
Asuncion,"69,848",Bobo,"53,598",Cousins,"34,220",Djossou,"33,742",El Numar,"17,420",Francisca,"17,611",Gund,"29,678",Halliday,"31,222",Itami,"10,487",Jarival,"12,107",Kanani,"51,990",Lorenzen,"22,031",Mkhwanazi,"82,479",Noonan,"35,582",Ortegon,"16,508",Perret,"30,887",Quenon,"1,716",Rachidi,"33,348",Saravia,"75,120",Tsukahara,"30,983",Udahemuka,"5,624",Vagadiy,"12,812",Wiest,"11,402",Xavier da Rocha,210,Yeye,"8,911",Zahmatkash,"8,949"
Adou,"69,594",Baaen,"53,593",Cohan,"34,020",Dilawar,"33,582",Estep,"17,416",Fungo,"17,569",Golding,"29,658",Hooker,"31,218",Ichiko,"10,466",Jovanovski,"12,089",Khobragade,"51,900",Large,"21,946",Mujahid,"82,450",Neelam,"35,475",Onyekachi,"16,461",Parkin,"30,879",Qassab,"1,707",Righi,"33,331",Sanderson,"75,041",Tipu,"30,958",Udawatta,"5,621",Vico,"12,808",Welde,"11,400",Xxxxxxxxxxxxxxxxxxxxxxxx,210,Yurin,"8,893",Zafy,"8,928"
Aleksandrovna,"69,571",Beaulieu,"53,571",Chukwudi,"33,996",Deogratias,"33,556",El Soudy,"17,396",Farhi,"17,559",Galea,"29,625",Hemed,"31,156",Işçi,"10,465",Juszczak,"12,080",Kannan,"51,847",Lengyel,"21,944",Marma,"82,443",Ngobese,"35,469",Omwenga,"16,456",Phua,"30,818",Quihuis,"1,707",Ridley,"33,324",Shrivastava,"74,863",Teca,"30,935",Unchit,"5,619",Vostrikova,"12,786",Whitcomb,"11,386",Xeba,209,Yarovaia,"8,882",Zhumaev,"8,919"
Azab,"69,327",Bingham,"53,468",Castrejon,"33,989",Daigle,"33,555",El Gharbani,"17,384",Fabiani,"17,541",Gaikar,"29,616",Heart,"31,140",Izumiya,"10,452",Jaamac,"12,060",Kada,"51,762",Leveque,"21,940",Malam,"82,371",Nowacki,"35,340",Owezow,"16,430",Pushaina,"30,807",Quel,"1,702",Rozo,"33,194",Sayavong,"74,818",Tuong,"30,905",Uzdenova,"5,617",Vaknin,"12,731",Wilt,"11,381",Xuruc,209,Yaran,"8,869",Zilani,"8,894"
Ahmd,"69,080",Bonfim,"53,408",Cahyani,"33,985",Dosi,"33,553",Etyang,"17,369",Fedchenko,"17,517",Gahir,"29,589",Helena,"31,138",Ivannikova,"10,451",Jimba,"12,044",Khandelwal,"51,761",Letebrhan,"21,896",Michalski,"82,351",Napitupulu,"35,312",Oglesby,"16,423",Pietersen,"30,789",Quitain,"1,693",Rayner,"33,079",Sulieman,"74,742",Tulyaganov,"30,857",Utui,"5,616",Vorobyev,"12,722",Whalley,"11,374",Xali,208,Yeshiwas,"8,866",Zaugg,"8,881"
Adamczyk,"68,991",Bado,"53,364",Chelimo,"33,901",del Aguila,"33,539",Effendy,"17,368",Fetisova,"17,510",Ghorab,"29,565",Husien,"31,128",Issoufa,"10,419",Jackowski,"12,027",Khedr,"51,666",Lovelace,"21,873",Mansoor,"82,341",Nduta,"35,295",Oripov,"16,417",Panya,"30,755",Qasali,"1,692",Rautray,"33,071",Suazo,"74,724",Tulyaganova,"30,852",Ulfat,"5,612",Vanve,"12,696",Woolsey,"11,368",Xhaxhaj,208,Yihun,"8,856",Zenbech,"8,855"
Alvaro,"68,949",Bulama,"53,299",Chabala,"33,878",Doll,"33,525",Elzein,"17,356",Foday,"17,479",Gapr,"29,530",Horan,"31,086",Ilyukhina,"10,405",Jayamaha,"12,018",Kwarteng,"51,595",Launay,"21,869",Mboyo,"82,325",Napier,"35,211",Ol,"16,409",Parvej,"30,662",Quamar,"1,689",Rayo,"33,067",Saday,"74,705",Tezcan,"30,852",Umbalo,"5,609",Voltaire,"12,661",Woolf,"11,360",Xiaohong,208,Yetimwork,"8,855",Zabsonre,"8,851"
Ajibade,"68,907",Bhusal,"53,292",Corti,"33,850",Dawoud,"33,523",El Deeb,"17,350",Fishman,"17,449",Gatera,"29,525",Hanifah,"31,061",Iji,"10,372",Jamous,"12,007",Kaushal,"51,497",Leech,"21,866",Mario,"82,196",Nargis,"35,166",Oguntade,"16,406",Proulx,"30,650",Quilario,"1,679",Rüstamova,"33,029",Sarıkaya,"74,606",Thurston,"30,807",Urashima,"5,602",Vekaray,"12,628",Waldman,"11,354",Xoseni,208,Yeshalem,"8,855",Zenker,"8,836"
Al Baadani,"68,898",Baldé,"53,283",Ciesielski,"33,835",Dodoo,"33,514",Eliya,"17,339",Fattouh,"17,420",Gakii,"29,466",Hathaway,"30,965",Isho,"10,338",Jakubiak,"12,007",Kostyuk,"51,469",Lyashenko,"21,817",Mahi,"82,126",Ndereyimana,"35,002",Oula,"16,405",Prihatin,"30,589",Quiao,"1,676",Rasolonirina,"33,017",Sudan,"74,550",Tolbert,"30,780",Uppin,"5,600",Vigneron,"12,620",Wilbanks,"11,317",Xavier de Barros,207,Yanusa,"8,844",Zilpha,"8,834"
Al Khulani,"68,836",Bhajantri,"53,275",Cantor,"33,674",Dobbs,"33,440",El Hilali,"17,282",Faivre,"17,383",Gleeson,"29,326",Horikoshi,"30,904",Israfilov,"10,336",Javari,"11,985",Khada,"51,434",Leka,"21,803",Mariko,"82,052",Nila,"34,996",Ocasio,"16,404",Phonekeo,"30,552",Qansoh,"1,667",Raad,"32,983",Surin,"74,509",Thole,"30,767",Ugoh,"5,599",Verbitskaya,"12,584",Wosen,"11,315",Xong,207,Ywsf,"8,829",Zinger,"8,823"
Aidoo,"68,765",Bayoumi,"53,161",Cedeno,"33,664",Demise,"33,371",Ezeani,"17,178",Freed,"17,371",Garca,"29,291",Hosea,"30,903",Iyoha,"10,322",Jelinek,"11,972",Knudsen,"51,384",Loukili,"21,760",Machuca,"82,037",Nafuna,"34,995",Okinyi,"16,393",Pattnaik,"30,538",Quilao,"1,665",Ruziyev,"32,895",Shinta,"74,466",Tigabu,"30,651",Urujeni,"5,595",Valor,"12,579",Wolak,"11,313",Xalatyan,205,Yadaw,"8,766",Zarean,"8,789"
Adame,"68,659",Borg,"53,110",Canuto,"33,629",Dulal,"33,360",Elmaghraby,"17,164",Fushimi,"17,356",Gunathilaka,"29,277",Hemedi,"30,864",Inose,"10,300",Jaggi,"11,967",Kaleem,"51,352",Lipa,"21,760",McGrath,"82,035",Ndege,"34,914",Oyediran,"16,342",Puac,"30,454",Qutubuddin,"1,656",Ruziyeva,"32,864",Stern,"74,448",Timmons,"30,626",Udoekpo,"5,591",Vispute,"12,573",Woodland,"11,310",Xintaras,205,Yurttaş,"8,758",Zohura,"8,762"
Apolinario,"68,577",Brhane,"53,049",Coto,"33,624",Devakot,"33,333",Eyang,"17,112",Ferrufino,"17,341",Gaytukaeva,"29,241",Habib-Ur-Rehman,"30,777",Ingraham,"10,286",Jaswal,"11,964",Khong,"51,299",Leão,"21,665",Mugabe,"81,831",Nassir,"34,896",Osa,"16,334",Panduro,"30,389",Quarmby,"1,655",Rahmi,"32,831",Shakirov,"74,291",Tasneem,"30,578",Urasa,"5,587",Vinciguerra,"12,541",Warfield,"11,295",Xirakis,205,Yazıcıoğlu,"8,741",Zbinden,"8,719"
Amanova,"68,558",Bior,"53,045",Carimo,"33,619",Diene,"33,276",Ezzeddine,"17,109",Fossati,"17,253",Gaddi,"29,214",Haymanot,"30,772",Inglês,"10,285",Jadaan,"11,946",Kosar,"51,180",Levitskaya,"21,602",Marchand,"81,826",Natha,"34,707",Orue,"16,334",Payeng,"30,357",Queiroz da Silva,"1,655",Redzhepova,"32,716",Sakina,"74,278",Terekhov,"30,575",Uane,"5,584",Vishnevsky,"12,540",Washio,"11,295",Xolani,205,Yakfini,"8,695",Zadorozhnaia,"8,700"
Alnisa,"68,503",Bel,"53,043",Clemons,"33,599",Dieudonné,"33,262",Ebeling,"17,081",Fried,"17,226",Gopi,"29,201",Hanlon,"30,671",Imami,"10,274",Jerónimo,"11,914",Kamgaing,"50,994",Lafond,"21,578",Munni,"81,564",Ngandwe,"34,703",Ouadah,"16,308",Pelico,"30,352",Quyum,"1,655",Rezazadeh,"32,713",Susilowati,"74,151",Terenteva,"30,436",Ulibarri,"5,575",Valcarcel,"12,500",Wiersma,"11,275",Xyda,205,Yocum,"8,668",Zuberu,"8,680"
Alanis,"68,463",Bale,"53,021",Coll,"33,583",Dago,"33,173",Eyong,"17,046",Fiel,"17,173",Grisales,"29,138",Hinkle,"30,648",Ivanovna,"10,268",Jivani,"11,911",Kathy,"50,994",Lebeau,"21,574",Mooney,"81,515",Nikuze,"34,677",Osias,"16,260",Podh,"30,261",Qaraşova,"1,654",Radovanović,"32,668",Suryati,"73,776",Turgunov,"30,427",Udovichenko,"5,566",Vezina,"12,461",Wasonga,"11,271",Xavier Ramos,203,Yoyo,"8,632",Zainuddini,"8,659"
Ash,"68,185",Begm,"53,013",Chileshe,"33,568",Dabre,"33,027",El Nemer,"17,043",Flick,"17,127",Gowda,"29,128",Haggag,"30,626",Inamoto,"10,229",Jumiati,"11,856",Kiefer,"50,941",La Torre,"21,551",Muteba,"81,290",Nhancale,"34,648",Oripova,"16,250",Pack,"30,196",Qasimzadeh,"1,654",Rouhani,"32,658",Shamsuddin,"73,447",Tonny,"30,418",Uh,"5,564",Valenta,"12,448",Wubitu,"11,270",Xochitl,203,Yushkov,"8,616",Zonta,"8,655"
Addisu,"68,047",Başaran,"53,003",Com,"33,511",Dukes,"32,854",Eshghi,"17,038",Fuerte,"17,122",Gemeda,"29,041",Hole,"30,607",Idarraga,"10,224",Jumao-As,"11,821",Kravtsov,"50,878",Labra,"21,550",Morgado,"80,982",Noniya,"34,371",Oluka,"16,167",Parnell,"30,173",Quirol,"1,653",Roohi,"32,602",Sezer,"73,434",Tripathy,"30,407",Ubom,"5,547",van der Velden,"12,432",Wanthong,"11,267",Xhangolli,202,Yoin,"8,609",Zharikov,"8,643"
Abdelgadir,"68,036",Bateman,"52,908",Childress,"33,501",Dirar,"32,828",Evina,"17,005",Filipova,"17,112",Gourgel,"29,036",Hailemichael,"30,553",Idries,"10,201",Jorgenson,"11,804",Kurniati,"50,864",Lanz,"21,506",Muhire,"80,965",Ngan,"34,134",Ortez,"16,167",Piva,"30,168",Quira,"1,650",Ries,"32,586",Santander,"72,965",Takyi,"30,401",Uekusa,"5,530",Vazefh,"12,416",Waghchaure,"11,266",Xasibe,201,Yumuşak,"8,606",Zourmba,"8,636"
Anguiano,"67,910",Bland,"52,867",Chojnacki,"33,484",Dighe,"32,713",Elkomy,"16,989",Falana,"17,111",Gabor,"28,859",Henrique Santos,"30,538",Isandhav,"10,199",Jalla,"11,783",Katongo,"50,861",Lisowski,"21,471",Maalim,"80,846",Niyongere,"34,087",Ohayon,"16,147",Panin,"30,165",Quinci,"1,647",Radjabova,"32,468",Stanton,"72,862",Taseen,"30,359",Uzar,"5,502",Veeranki,"12,404",Wain,"11,253",Xavier de Melo,201,Yoba,"8,601",Zerari,"8,615"
Acen,"67,782",Bairagya,"52,821",Carabajal,"33,395",Dubon,"32,572",Everson,"16,979",Farinha,"17,100",Gavrilenko,"28,841",Hoyt,"30,506",Ibirahim,"10,196",Jacks,"11,775",Kurata,"50,850",Lyles,"21,438",Meda,"80,714",Ngendakumana,"34,073",Oyelami,"16,140",Pfaff,"30,050",Quixabeira,"1,645",Rapa,"32,451",Soloveva,"72,857",Tejero,"30,342",Unhale,"5,498",Vavilov,"12,400",Wroblewski,"11,248",Xhemshiti,201,Yancy,"8,598",Zeron,"8,576"
Afanaseva,"67,779",Bishwas,"52,734",Candelaria,"33,369",Dif,"32,331",Elizarova,"16,949",Fakhr,"17,086",Grand,"28,795",Hendy,"30,497",Ischenko,"10,185",Jezierski,"11,756",Kulik,"50,799",Liwanag,"21,401",Mtonga,"80,574",Night,"34,068",Okosun,"16,080",Puk,"30,030",Quaintance,"1,644",Renault,"32,414",Shitaye,"72,789",Twala,"30,324",Utla,"5,490",Vorobey,"12,384",Warnke,"11,238",Xavier Marques,200,Yazzie,"8,585",Zvyagintsev,"8,570"
Aaron,"67,699",Bagartti,"52,732",Coco,"33,329",Drury,"32,281",El Zoriki,"16,894",Fahimi,"17,080",Galimova,"28,766",Hosoi,"30,461",Iannuzzi,"10,137",Junej,"11,752",Kamwanya,"50,737",Lavado,"21,396",Muratova,"80,553",Nizar,"34,056",Otundu,"16,053",Paulos,"30,028",Quelca,"1,643",Rajaobelina,"32,296",Shanto,"72,598",Tushabe,"30,245",Ualieva,"5,484",Vun,"12,382",Wohlgemuth,"11,157",Xhelali,200,Yousf,"8,556",Zanre,"8,558"
Aizawa,"67,613",Bisoyi,"52,715",Chumak,"33,320",Darboe,"32,232",Elmubarak,"16,882",Fikiru,"17,067",Goodson,"28,700",Haugen,"30,450",Islavat,"10,135",Jespersen,"11,743",Khuntia,"50,722",Lindquist,"21,352",Medhi,"80,450",Ndolo,"34,034",Osullivan,"16,041",Pylypenko,"29,979",Qaziyev,"1,638",Rait,"32,258",Sarah,"72,538",Taghizadeh,"30,233",Udechukwu,"5,465",Vasilescu,"12,381",Wanzala,"11,147",Xiaocai,200,Yvonne,"8,538",Zawar,"8,555"
Abdollah,"67,531",Beach,"52,662",Chak,"33,301",de Villiers,"32,155",Evan,"16,857",Ferdaous,"17,035",Goodrich,"28,691",Henrique Ferreira,"30,335",Indarti,"10,117",Jaffe,"11,728",Kari,"50,689",Lamprecht,"21,347",Moloi,"80,422",Ngabirano,"34,005",Ogo,"16,040",Photsi,"29,975",Qattawi,"1,637",Radjabov,"32,256",Saddam,"72,435",Thioune,"30,179",Uduta,"5,460",van Eck,"12,338",Waltz,"11,128",Xiarchos,200,Yemegnushal,"8,532",Zemezem,"8,533"
Arkhipova,"67,412",Benedicto,"52,616",Chaleunsouk,"33,203",da Mata,"32,122",Enow,"16,805",Fouquet,"17,034",Gera,"28,527",Hrp,"30,332",Ibraimova,"10,039",Jari,"11,651",Kasanga,"50,643",Lupi,"21,347",Mihai,"80,240",Nansamba,"33,978",Oyebanji,"16,030",Palit,"29,973",Qusailah,"1,636",Robidas,"32,254",Sanson,"71,965",Tarak,"30,167",Uppara,"5,447",Vien,"12,320",Wuol,"11,113",Xaliqverdiyeva,199,Yarovaya,"8,524",Zeiler,"8,510"
Adly,"67,401",Bondareva,"52,582",Cola,"33,127",Díaz,"32,104",Englert,"16,780",Firman,"17,026",Giuliano,"28,485",Henrique Alves,"30,310",Iovino,"10,039",Júlio,"11,643",Kipngetich,"50,555",Loomis,"21,308",Mita,"80,065",Nurjaman,"33,967",Othieno,"15,986",Patan,"29,967",Quibel,"1,632",Rathor,"32,224",Shokri,"71,858",Tilaye,"30,166",Unnithan,"5,442",Vaught,"12,311",Wilhite,"11,100",Xenxe,199,Yacine,"8,521",Zeqiri,"8,504"
Abah,"67,309",Belous,"52,577",Chalmers,"33,076",di Marco,"32,015",Elrahman,"16,774",Fatini,"17,025",Gagrai,"28,479",Hosono,"30,255",Ichijo,"10,032",Jassar,"11,613",Khazal,"50,537",Laker,"21,305",Massingue,"79,999",Needham,"33,864",Offiong,"15,908",Pullen,"29,957",Quindara,"1,631",Razanadrakoto,"32,221",Sharqawi,"71,844",Turgunova,"30,145",Upendra,"5,439",Varley,"12,301",Wenz,"11,095",Xoshnaw,198,Yaak,"8,509",Zaba,"8,464"
Alganesh,"67,294",Butera,"52,400",Chane,"32,981",de Klerk,"31,975",El Ashry,"16,728",Fikiri,"17,016",Gorla,"28,438",Hiratsuka,"30,248",Iri,"10,010",Josephs,"11,609",Kandemir,"50,518",Loiseau,"21,278",Mabula,"79,581",Newsome,"33,773",Onivogui,"15,900",Phong,"29,955",Quercioli,"1,629",Ronghang,"32,221",Salifu,"71,792",Tahan,"30,117",Ukoha,"5,437",Venezia,"12,286",Wawire,"11,092",Xaanshi,197,Yohannan,"8,487",Zemskova,"8,459"
Amari,"67,240",Bagde,"52,351",Ceyhan,"32,936",Duku,"31,852",Essono,"16,720",Feijoo,"16,994",Gasper,"28,432",Haya,"30,189",Ismaail,"10,003",July,"11,600",Koomson,"50,507",Lazrak,"21,271",Musau,"79,283",Nalavade,"33,749",Otalora,"15,899",Pathare,"29,951",Quijon,"1,628",Raghav,"32,168",Svarup,"71,698",Tesfu,"30,070",Uluç,"5,410",Veselinović,"12,273",Wächter,"11,045",Xabregas,197,Yürekli,"8,472",Zacher,"8,458"
Anne,"66,898",Baten,"52,342",Cuero,"32,863",Djidda,"31,688",El Hamzy,"16,711",Fon,"16,935",Gulam,"28,261",Haggar,"30,134",Ikehata,"10,002",Javir,"11,591",Khadim,"50,410",Lunsford,"21,268",MacKay,"78,932",Nuria,"33,742",Oyewale,"15,828",Pisani,"29,941",Quinot,"1,624",Rahmonova,"31,947",Sugiarto,"71,612",Tale,"30,058",Uuganbayar,"5,387",Vandenberghe,"12,257",Warjri,"11,016",Xawadle,197,Yuryeva,"8,469",Zheleznyak,"8,453"
Alio,"66,882",Barcelos,"52,333",Chistyakova,"32,861",Dianda,"31,679",El Houssine,"16,701",Fitina,"16,933",Galla,"28,231",Hadush,"30,130",Ibi,"9,968",Jover,"11,580",Kerimova,"50,390",Latipova,"21,266",Maryani,"78,916",Neyra,"33,740",Oyerinde,"15,817",Pise,"29,888",Quneis,"1,624",Retamal,"31,917",Sauda,"71,477",Tarhan,"30,051",Urusov,"5,381",Villasenor,"12,235",Wabomba,"10,998",Xobololo,197,Yenigün,"8,453",Ziqubu,"8,451"
Abella,"66,774",Bin Abdul Rahman,"52,333",Chichava,"32,845",Durga,"31,565",Eccles,"16,691",Figuereo,"16,931",Gál,"28,205",Hamman,"30,010",Idiong,"9,959",Jamili,"11,576",Kawano,"50,390",Laki,"21,147",Munteanu,"78,908",Narh,"33,725",Ogi,"15,772",Pit,"29,859",Quinten,"1,621",Reynaud,"31,915",Seikh,"71,426",Theron,"30,007",Uloko,"5,369",Vences,"12,220",Wafik,"10,970",X,196,Yapar,"8,425",Zagórski,"8,440"
Ağayeva,"66,695",Bek,"52,209",Carillo,"32,738",Deluca,"31,479",Ermiş,"16,642",Fayzullin,"16,925",Ganesan,"28,166",Heras,"29,999",Ilgin,"9,958",Jeppesen,"11,569",Karani,"50,106",Latipov,"21,144",Mbah,"78,839",Nay,"33,633",Ogunrinde,"15,750",Paiz,"29,822",Qotimah,"1,619",Reichel,"31,911",Saparova,"71,278",Taneja,"29,990",Uyun,"5,355",Verhagen,"12,210",Woyneshet,"10,948",Xaji-Axmed,196,Yagmurova,"8,417",Zulaikha,"8,439"
Aydoğdu,"66,679",Biggs,"52,172",Colli,"32,695",D'Ambrosio,"31,395",Ertl,"16,610",Freires,"16,905",Goins,"28,138",Hamal,"29,993",Isufi,"9,958",Jubayer,"11,566",Kotha,"50,105",Luboya,"21,129",Masuku,"78,828",Naruse,"33,537",Omoregie,"15,720",Pakhira,"29,774",Qumba,"1,619",Rutto,"31,906",Sem,"71,262",Tarannum,"29,950",Ubang,"5,334",Ve,"12,198",Woreda,"10,947",Xhelithole,196,Yahaiya,"8,413",Zadorin,"8,437"
Alao,"66,629",Bakry,"52,054",Chaubey,"32,682",Dody,"31,356",Elsabeth,"16,586",Fayzulloeva,"16,902",Garvey,"28,122",Hassouni,"29,904",Imhoff,"9,939",Junghare,"11,537",Kamanda,"50,064",Latimer,"21,086",Mol,"78,808",Njiru,"33,460",Osuga,"15,704",Pheng,"29,709",Quelch,"1,615",Redzhepov,"31,893",Shohag,"71,185",Twesigye,"29,943",Upoma,"5,318",Vavre,"12,187",Wanyenze,"10,925",Xavier Araujo,195,Yow,"8,411",Zayan,"8,436"
Aras,"66,484",Brenes,"52,009",Castello,"32,681",Diwan,"31,281",Ekanayaka,"16,551",Filina,"16,852",Guchait,"28,118",Hamer,"29,866",Izci,"9,932",Jayamanne,"11,531",Kirkpatrick,"49,981",Lepe,"21,034",Minz,"78,646",Namuddu,"33,442",Oswal,"15,691",Pupo,"29,552",Qalbi,"1,611",Rejepow,"31,855",Sahal,"70,837",Taral,"29,893",Umbu,"5,317",Villaruz,"12,159",Wine,"10,917",Xerfan,195,Yosafe,"8,398",Zniber,"8,431"
Ajang,"66,469",Belhaj,"51,995",Carretero,"32,641",D'Alessandro,"31,271",Ete,"16,540",Faundez,"16,840",Ginga,"28,112",Halawani,"29,866",Iyambo,"9,907",Jerusalem,"11,527",Kandula,"49,961",Lar,"21,015",Mercer,"78,422",Ngowi,"33,367",Olah,"15,687",Phang,"29,396",Quitor,"1,608",Randriamahefa,"31,845",Sunusi,"70,695",Thabethe,"29,846",Urgesa,"5,313",Visconti,"12,146",Waghera,"10,903",Xystras,195,Ys,"8,392",Zandieh,"8,426"
Akimoto,"66,417",Biruk,"51,934",Calisto,"32,578",de Santiago,"31,238",Eslava,"16,480",Fuster,"16,809",Glukhov,"28,100",Houle,"29,850",Izuta,"9,884",Jelani,"11,524",Koide,"49,957",Legault,"21,014",Muthanna,"78,307",Nemer,"33,309",Osses,"15,686",Pohan,"29,336",Quarrell,"1,604",Rubiano,"31,818",Souto,"70,654",Talpur,"29,704",Ussaini,"5,299",Vanthala,"12,144",Wilkin,"10,898",Xoafaqare,194,Yakan,"8,379",Zuhdi,"8,425"
Al Mutairi,"66,332",Baghdadi,"51,802",Cosentino,"32,556",Desrosiers,"31,227",Erfani,"16,475",Fick,"16,760",Gustavsson,"28,013",Habibou,"29,823",Irma,"9,878",Johura,"11,474",Kaku,"49,916",Lakot,"20,981",Matsuzaki,"78,291",Nyuon,"33,284",Ossama,"15,672",Puc,"29,302",Qamadadze,"1,599",Rajabova,"31,733",Sandy,"70,516",Tura,"29,639",Ujeneza,"5,298",Vandamme,"12,142",Wede,"10,860",Xochitototl,193,Yeğin,"8,371",Zairov,"8,412"
Antunez,"66,271",Bereket,"51,750",Cherkasov,"32,525",Delvalle,"31,198",Esubalew,"16,431",Fayek,"16,744",Ghoroi,"27,954",Hinostroza,"29,818",Izhar,"9,858",Jemberu,"11,451",Kothapalli,"49,911",Lukács,"20,978",Mwaura,"78,260",Ngombo,"33,234",Okunlola,"15,655",Podar,"29,186",Quincey,"1,598",Ratsimandresy,"31,656",San Juan,"70,485",Tumukunde,"29,626",Udomphon,"5,297",van der Laan,"12,070",Wedajo,"10,824",Xuluo,193,Yamaga,"8,370",Zairova,"8,399"
Arauz,"66,045",Baabu,"51,612",Camejo,"32,464",Duba,"31,183",Etaferaw,"16,420",Farha,"16,724",Guled,"27,946",Hensel,"29,748",Ivaschenko,"9,846",Jocson,"11,432",Keating,"49,787",Latour,"20,971",Machida,"78,211",Noro,"33,219",Oltean,"15,618",Panina,"29,132",Quisaguano,"1,596",Rolle,"31,583",Soliz,"70,425",Tahiru,"29,620",Upadhye,"5,290",Vempati,"12,035",Wenceslao,"10,823",Xango,192,Yamaç,"8,365",Zora,"8,329"
Adeniji,"65,957",Badea,"51,561",Cavallaro,"32,444",Damiani,"31,149",Elnahas,"16,380",Faroque,"16,674",Guinto,"27,877",Habeeb,"29,703",Irgashev,"9,830",Jonasson,"11,411",Kalim,"49,766",Liguori,"20,930",Muramatsu,"78,185",Nzimande,"33,196",Odette,"15,593",Pongo,"29,124",Qathe,"1,594",Riya,"31,576",Schindler,"70,360",Tikhomirov,"29,587",Unagar,"5,266",Vacher,"12,018",Wudinesh,"10,786",Xoalaqadarean,192,Yurkevich,"8,363",Ziwa,"8,309"
Ar,"65,875",Bahi,"51,558",Claus,"32,427",Dita,"31,084",Español,"16,346",Foucher,"16,669",Gadge,"27,806",Hym,"29,683",Ioannidou,"9,829",Jankar,"11,406",Keta,"49,758",Lale,"20,925",Madden,"78,131",Nortey,"33,148",Okori,"15,590",Penha,"29,108",Qiblah,"1,594",Razu,"31,567",Silalahi,"70,183",Thongsuk,"29,580",Usachyov,"5,265",van Hoof,"11,977",Wroński,"10,749",Xuzhuang,192,Yagyu,"8,361",Zarzour,"8,266"
Abdel Wahab,"65,826",Bayona,"51,355",Czerwiński,"32,376",Dipu,"31,048",Erofeev,"16,345",Fada,"16,654",Goodall,"27,735",Handley,"29,667",Ismaïl,"9,821",Jahanideh,"11,389",Kuraishi,"49,757",Longhi,"20,797",Maslova,"78,118",Naheed,"33,127",Okoi,"15,547",Parruque,"29,088",Qodah,"1,592",Reardon,"31,566",Setyawan,"69,954",Tantawi,"29,568",Uzabakiriho,"5,265",Vishe,"11,955",Wangare,"10,735",Xyla,192,Yardley,"8,359",Zubeda,"8,252"
Al Zubi,"65,618",Blue,"51,253",Cauich,"32,312",Degefu,"31,041",Elidrissi,"16,323",Filipov,"16,647",Ghate,"27,720",Haïdara,"29,653",Ichino,"9,785",Julies,"11,328",Kitajima,"49,714",Laursen,"20,791",Murodova,"77,879",Nagawa,"33,127",Oroma,"15,530",Pashchenko,"29,007",Quarto,"1,584",Rajaonarivony,"31,533",Salimu,"69,942",Turcotte,"29,563",Ugbor,"5,264",Vata,"11,935",Withrow,"10,722",Xenitopoulos,191,Yakoub,"8,341",Zanotto,"8,228"
Al-Razzaq,"65,558",Bobade,"51,241",Condon,"32,267",Dungdung,"31,035",Edith,"16,305",Fayzulloev,"16,641",Ghareeb,"27,714",Hermoso,"29,649",Iñigo,"9,769",Joga,"11,327",Kunze,"49,693",Lamoureux,"20,774",Mpundu,"77,850",Nishimwe,"33,095",Oussoumanou,"15,513",Péres,"28,975",Quilola,"1,581",Razali,"31,473",Shvets,"69,914",Tadi,"29,480",Urmy,"5,261",Vieru,"11,927",Warr,"10,676",Xhumari,191,Yeow,"8,335",Zewidu,"8,211"
